label,avg_calories_kcal,portion_notes
acai,20.0,1 oz. (28.35 g)
acerola,1.0,1 acerola (4.8 g)
almond oil,123.0,1 tbsp (14 ml)
alphabet soup,62.0,1 cup (248 g)
amaranth,716.0,1 cup (193 g)
apple,95.0,1 apple (182 g)
applesauce,167.0,1 cup (246 g)
apricot,17.0,1 apricot (35 g)
apricot kernel oil,124.0,1 tbsp (14 ml)
arby’s grand turkey club,489.0,1 sandwich (233 g)
arby’s reuben,641.0,1 sandwich (308 g)
arby’s roast beef classic,360.0,1 burger (154 g)
arby’s roast beef max,360.0,1 burger (154 g)
argan oil,125.0,1 tbsp (14 ml)
artichoke,60.0,1 artichoke (128 g)
arugula,1.0,1 leaf (2 g)
asian pear,75.0,1 pear (178 g)
asparagus,2.0,1 spear (12 g)
aubergine,115.0,1 aubergine (458 g)
avocado,320.0,1 avocado (200 g)
avocado oil,120.0,1 tbsp (14 ml)
babassu oil,124.0,1 tbsp (14 ml)
baby back ribs,360.0,1 serving (139 g)
bacon and eggs,539.0,1 serving (214 g)
baked beans,244.0,1 cup (260 g)
banana,111.0,1 banana (125 g)
barley,556.0,1 cup (157 g)
barley groats,31.0,1 cup (31 g)
baskin-robbins,170.0,1 scoop (71 g)
bbq chicken pizza,309.0,1 slice (132 g)
bbq pizza,314.0,1 slice (140 g)
bbq rib,142.0,1 rib (67 g)
bbq ribs,360.0,1 rib (141 g)
bean burrito,380.0,1 burrito (190 g)
bean stew,335.0,1 cup (252 g)
beef bouillon,7.0,1 cup (240 g)
beef noodle soup,83.0,1 cup (244 g)
beef pizza,714.0,1 slice (235 g)
beef soup,70.0,1 cup (213 g)
beef stew,186.0,1 cup (196 g)
beetroot,35.0,1 beet (82 g)
bell pepper,15.0,1 pepper (73 g)
ben and jerry’s,210.0,1 scoop (92 g)
bianca pizza,460.0,1 slice (187 g)
big n’ tasty,517.0,1 sandwich (232 g)
biryani,420.0,1 plate (300g)
black olives,2.0,1 olive (2.7 g)
black pudding,101.0,1 pudding (40 g)
black rice,323.0,1/2 cup (100 g)
blackberries,62.0,1 cup (144 g)
blood oranges,70.0,1 serving (140 g)
blt,593.0,1 item (240 g)
blueberries,84.0,1 cup (148 g)
bouillon,39.0,1 cup (244 g)
bratwurst,283.0,1 piece (85 g)
breadfruit,99.0,1/4 breadfruit (96 g)
broccoli,207.0,1 bunch (608 g)
broccoli cheese soup,264.0,1 can (303 g)
broccoli soup,206.0,1 cup (237 g)
brown rice,670.0,1 cup (185 g)
brussels sprouts,8.0,1 sprout (19 g)
buckwheat,583.0,1 cup (170 g)
buckwheat groats,567.0,1 cup (164 g)
buffalo chicken pizza,600.0,1 slice (238 g)
burger,350.0,"Regular patty, no cheese"
burger king angry whopper,740.0,1 burger (290 g)
burger king double whopper,894.0,1 burger (374 g)
burger king double whopper with cheese,994.0,1 sandwich (399 g)
burger king original chicken sandwich,659.0,1 sandwich (219 g)
burger king premium alaskan fish sandwich,591.0,1 burger (228 g)
burger king triple whopper,1471.0,1 burger (547 g)
burger king whopper,672.0,1 burger (291 g)
burger king whopper jr.,346.0,1 burger (148 g)
burger king whopper with cheese,759.0,1 burger (315 g)
burrito,326.0,1 burrito (200 g)
butter chicken,490.0,1 tray (350 g)
butter pecan ice cream,280.0,1 scoop (113 g)
cabbage,227.0,1 head (908 g)
cabbage soup,69.0,1 cup (245 g)
calabrese pizza,254.0,1 slice (108 g)
california roll,33.0,1 roll (35 g)
calzone,841.0,1 calzone (364 g)
cannelloni,82.0,2 oz. (56 g)
canola oil,124.0,1 tbsp (14 ml)
cantaloupe,23.0,1 wedge (69 g)
cantaloupe melon,23.0,1 wedge (69 g)
capellini,198.0,2 oz. (56 g)
cappelletti,92.0,2 oz. (56 g)
capricciosa pizza,192.0,1 slice (74 g)
capsicum,12.0,1 pepper (45 g)
carrot,25.0,1 carrot (61 g)
carrot ginger soup,95.0,1 serving (381 g)
carrot soup,95.0,1 serving (381 g)
carvel,449.0,1 cup (212 g)
casaba melon,35.0,1 wedge (125 g)
cauliflower,3.0,1 floweret (13 g)
celery,6.0,1 stalk (40 g)
cellophane noodles,491.0,1 cup (140 g)
chapati,120.0,1 piece (50g)
chard,9.0,1 leaf (48 g)
cheese pizza,168.0,1 slice (63 g)
cheese tortellini,329.0,1 cup (113 g)
cheeseburger,410.0,1 burger (156 g)
cherimoya,176.0,1 cherimoya (235 g)
cherries,4.0,1 cherry (8 g)
cherry tomato,20.0,1 cherry tomato (20 g)
chicken bouillon,10.0,1 cup (241 g)
chicken breast,116.0,1 piece (71 g)
chicken broth,39.0,1 cup (244 g)
chicken caesar salad,392.0,1 salad (309 g)
chicken fajita,326.0,1 sandwich (222 g)
chicken fried steak,423.0,1 steak (280 g)
chicken gumbo soup,56.0,1 cup (244 g)
chicken marsala,2209.0,1 serving (2301 g)
chicken mcnuggets,48.0,1 nugget (16 g)
chicken noodle soup,62.0,1 cup (248 g)
chicken nuggets,59.0,1 piece (20 g)
chicken parmesan,250.0,1 piece (227 g)
chicken pizza,309.0,1 slice (132 g)
chicken pizziola,451.0,1 sandwich (320 g)
chicken pot pie,673.0,1 pie (302 g)
chicken sandwich,410.0,1 sandwich (170 g)
chicken stock,39.0,1 cup (244 g)
chicken teriyaki sandwich,367.0,1 sandwich (266 g)
chicken tikka masala,195.0,1 serving (241 g)
chicken vegetable soup,77.0,1 cup (248 g)
chicken wings,94.0,1 piece (29 g)
chicken with rice soup,58.0,1 cup (243 g)
chicory,38.0,1 head (53 g)
chili con carne,266.0,1 cup (253 g)
chimichanga,418.0,1 item (180 g)
chinese cabbage,134.0,1 head (840 g)
chives,1.0,"1 tbsp, chopped (3 g)"
chocolate chip ice cream,155.0,1 scoop (72 g)
chocolate ice cream,156.0,1 scoop (72 g)
chop suey,585.0,1 serving (340 g)
ciao bella,240.0,1 cup (220 g)
clementine,35.0,1 clementine (74 g)
cobb salad,632.0,1 serving (536 g)
coconut oil,120.0,1 tbsp (14 ml)
coffee ice cream,170.0,1 scoop (72 g)
cold stone creamery,329.0,1 scoop (142 g)
collard greens,12.0,"1 cup, raw (36 g)"
cookie dough ice cream,130.0,1/2 cup (65 g)
corn,562.0,1 cup (154 g)
corn dog,438.0,1 item (175 g)
corn oil,120.0,1 tbsp (15 ml)
corn waffles,110.0,1 waffle (40 g)
corned beef hash,349.0,1 can (213 g)
cornmeal,442.0,1 cup (122 g)
cornstarch,488.0,1 cup (128 g)
cottage pie,523.0,1 pie (376 g)
cottonseed oil,123.0,1 tbsp (14 ml)
courgette,33.0,1 courgette (196 g)
couscous,650.0,1 cup (173 g)
cracker,35.0,1 cracker (7 g)
cranberries,46.0,1 cup (100 g)
cream of asparagus soup,85.0,1 cup (244 g)
cream of broccoli soup,140.0,1 serving (310 g)
cream of celery soup,92.0,1 cup (248 g)
cream of chicken soup,117.0,1 cup (244 g)
cream of mushroom soup,97.0,1 cup (248 g)
cream of onion soup,107.0,1 cup (244 g)
cream of potato soup,73.0,1 cup (244 g)
creamed spinach,148.0,1 cup (200 g)
creamy chicken noodle soup,56.0,1 cup (245 g)
crunchie mcflurry,318.0,1 mcflurry (183 g)
cucumber,66.0,1 cucumber (410 g)
curly fries,398.0,1 serving (128 g)
currants,63.0,1 cup (112 g)
