label,avg_calories_kcal,portion_notes
artichoke,60,1 artichoke (128 g)
arugula,1,1 leaf (2 g)
asparagus,2,1 spear (12 g)
aubergine,115,1 aubergine (458 g)
beetroot,35,1 beet (82 g)
bell pepper,15,1 pepper (73 g)
black olives,2,1 olive (2.7 g)
broccoli,207,1 bunch (608 g)
brussels sprouts,8,1 sprout (19 g)
cabbage,227,1 head (908 g)
capsicum,12,1 pepper (45 g)
carrot,25,1 carrot (61 g)
cauliflower,3,1 floweret (13 g)
celery,6,1 stalk (40 g)
chard,9,1 leaf (48 g)
cherry tomato,20,1 cherry tomato (20 g)
chicory,38,1 head (53 g)
chinese cabbage,134,1 head (840 g)
chives,1,"1 tbsp, chopped (3 g)"
collard greens,12,"1 cup, raw (36 g)"
corn,562,1 cup (154 g)
courgette,33,1 courgette (196 g)
creamed spinach,148,1 cup (200 g)
cucumber,66,1 cucumber (410 g)
eggplant,115,1 eggplant (458 g)
endive,87,1 head (513 g)
fennel,73,1 bulb (234 g)
garlic,4,1 clove (3 g)
gherkin,9,1 gherkin (65 g)
gourd,108,1 gourd (771 g)
green beans,34,1 cup (110 g)
green olives,2,1 olive (2.7 g)
green onion,5,1 green onion (15 g)
horseradish,7,1 tbsp (15 g)
kale,33,"1 cup, chopped (67 g)"
kohlrabi,108,1 kohlrabi (400 g)
kumara,112,1 kumara (130 g)
leek,54,1 leek (89 g)
lettuce,90,1 head (600 g)
mushrooms,1,1 mushroom (5.4 g)
mustard greens,15,"1 cup, chopped (56 g)"
nori,1,1 sheet (2.6 g)
okra,4,1 pod (12 g)
olives,2,1 olive (2.7 g)
onion,34,1 onion (85 g)
parsnips,128,1 parsnip (170 g)
peas,79,1 cup (98 g)
pepper,20,1 pepper (75 g)
potato,164,1 potato (213 g)
pumpkin,51,1 pumpkin (196 g)
radishes,1,1 radish (4.5 g)
red cabbage,7,1 leaf (22 g)
rutabaga,147,1 rutabaga (386 g)
shallots,18,1 shallot (25 g)
spinach,78,1 bunch (340 g)
squash,88,1 squash (196 g)
sweet potato,112,1 potato (130 g)
tomato,20,1 tomato (111 g)
turnip greens,34,1 turnip green (170 g)
turnips,34,1 turnip (122 g)
wasabi,184,1 root (169 g)
winter squash,147,1 squash (431 g)
zucchini,33,1 zucchini (196 g)
acai,20,1 oz. (28.35 g)
apple,95,1 apple (182 g)
applesauce,167,1 cup (246 g)
apricot,17,1 apricot (35 g)
avocado,320,1 avocado (200 g)
banana,111,1 banana (125 g)
blackberries,62,1 cup (144 g)
blood oranges,70,1 serving (140 g)
blueberries,84,1 cup (148 g)
cantaloupe,23,1 wedge (69 g)
cherries,4,1 cherry (8 g)
clementine,35,1 clementine (74 g)
cranberries,46,1 cup (100 g)
currants,63,1 cup (112 g)
custard apple,136,1 custard apple (135 g)
dates,20,1 date (7.1 g)
figs,37,1 fig (50 g)
fruit salad,125,1 cup (249 g)
grapes,104,1 cup (151 g)
greengage,2,1 fruit (5 g)
guava,37,1 guava (55 g)
jackfruit,143,1 cup (151 g)
jujube,22,1 oz. (28.35 g)
kiwi,112,1 liwi (183 g)
lemon,17,1 lemon (58 g)
lime,20,1 lime (67 g)
lychees,7,1 lychee (10 g)
mandarin oranges,47,1 mandarin orange (88 g)
mango,202,1 mango (336 g)
minneola,70,1 minneola (109 g)
mulberries,60,1 cup (140 g)
nectarine,66,1 nectarine (150 g)
orange,62,1 orange (131 g)
papaya,215,1 fruit (500 g)
passion fruit,17,1 passoin fruit (18 g)
peach,59,1 peach (150 g)
pear,101,1 pear (178 g)
persimmon,32,1 fruit (25 g)
physalis,2,1 berry (5 g)
pineapple,453,1 pineapple (905 g)
plantains,218,1 plantain (179 g)
plum,30,1 plum (66 g)
pomegranate,234,1 pomegranate (282 g)
quince,52,1 quince (92 g)
raisins,434,1 cup (145 g)
rambutan,7,1 rambutan (9 g)
raspberries,64,1 cup (123 g)
rhubarb,11,1 stalk (51 g)
starfruit,28,1 star fruit (91 g)
strawberries,49,1 cup (152 g)
tamarind,5,1 tamarind (2 g)
tangerine,47,1 tangerine (88 g)
watermelon,86,1 wedge (286 g)
baby back ribs,360,1 serving (139 g)
bacon and eggs,539,1 serving (214 g)
baked beans,244,1 cup (260 g)
bbq ribs,360,1 rib (141 g)
beef stew,186,1 cup (196 g)
biryani,484,1 cup (275 g)
black pudding,101,1 pudding (40 g)
black rice,323,1/2 cup (100 g)
blt,593,1 item (240 g)
brown rice,670,1 cup (185 g)
burrito,326,1 burrito (200 g)
butter chicken,490,1 tray (350 g)
california roll,33,1 roll (35 g)
chicken caesar salad,392,1 salad (309 g)
chicken fried steak,423,1 steak (280 g)
chicken marsala,2209,1 serving (2301 g)
chicken parmesan,250,1 piece (227 g)
chicken pot pie,673,1 pie (302 g)
chicken tikka masala,195,1 serving (241 g)
chili con carne,266,1 cup (253 g)
chimichanga,418,1 item (180 g)
cobb salad,632,1 serving (536 g)
corn dog,438,1 item (175 g)
corned beef hash,349,1 can (213 g)
cottage pie,523,1 pie (376 g)
dal,304,1/2 cup (92 g)
deviled eggs,62,1/2 egg (31 g)
dim sum,37,1 piece (19 g)
dosa,287,1 serving (435 g)
enchiladas,323,1 enchilada (192 g)
fajita,290,1 serving (248 g)
fish and chips,585,1 serving (300 g)
fried rice,662,1 serving (356 g)
fried shrimp,75,1 shrimp (27 g)
grilled cheese sandwich,392,1 sandwich (136 g)
